epoch,train_loss,val_loss
1,0.02137498920991467,0.00800174147944676
2,0.011827501898914869,0.0073360931845341286
3,0.011551372226949002,0.007508789752851077
4,0.011385877765139604,0.0073211702177565135
5,0.011268065003673184,0.007292152257164442
6,0.011153560137056219,0.007149218866943241
7,0.011003653417466633,0.0071366357647558816
8,0.01098915465363032,0.007322941609142944
9,0.011005418814078483,0.007468166845303022
10,0.011018849488502236,0.00737264904450987
11,0.011042515839274607,0.007893972663403534
12,0.011070276109541663,0.007383398071378326
13,0.01109208706064706,0.00802391509464361
14,0.011107775202302774,0.007355127594425131
15,0.011105942910577404,0.007988572630608025
