loss,mae,mape,r2_score,rmse,val_loss,val_mae,val_mape,val_r2_score,val_rmse
0.07870320975780487,0.1294737160205841,16410452.0,-1.283349871635437,0.28054091334342957,0.010817224159836769,0.06211194396018982,4329610.5,0.4528427720069885,0.10400588810443878
0.009794275276362896,0.064309261739254,7002116.5,0.7136717438697815,0.09896603226661682,0.009116113185882568,0.05159639194607735,3540260.25,0.5435308218002319,0.09547834098339081
0.00791260413825512,0.05361795797944069,5209803.5,0.7686769366264343,0.08895281702280045,0.008492822758853436,0.04699551314115524,3182542.25,0.5753840804100037,0.09215651452541351
0.007007917854934931,0.04756002873182297,4159963.0,0.7951326370239258,0.08371330797672272,0.008112520910799503,0.04355508089065552,2691747.75,0.5944973826408386,0.09006953239440918
0.006495352368801832,0.04360325261950493,3452595.75,0.810132622718811,0.08059374988079071,0.007839221507310867,0.041637349873781204,2303034.0,0.608998715877533,0.08853937685489655
0.006176969967782497,0.04092194512486458,2974830.75,0.8194226622581482,0.07859370112419128,0.0077002886682748795,0.04049939289689064,2094864.75,0.6160536408424377,0.08775129169225693
0.005932953208684921,0.03885709121823311,2607335.5,0.8265424370765686,0.07702566683292389,0.007612570188939571,0.03929860517382622,2030381.5,0.6208325624465942,0.08725004643201828
0.0057550640776753426,0.03722773864865303,2327965.75,0.8317765593528748,0.07586213946342468,0.007575334515422583,0.03939734771847725,1875949.875,0.621806263923645,0.08703640103340149
0.005616356153041124,0.03589378669857979,2100022.0,0.8357999324798584,0.07494235038757324,0.00746249919757247,0.03798605874180794,1631908.125,0.6291921138763428,0.08638575673103333
0.005506964400410652,0.03488766774535179,1934003.0,0.8390112519264221,0.07420892268419266,0.007347311358898878,0.03738166764378548,1551593.25,0.6345900893211365,0.08571645617485046
0.005393460392951965,0.03398693725466728,1786341.125,0.8423374891281128,0.07344017922878265,0.007304568774998188,0.03729023039340973,1656401.25,0.6367271542549133,0.08546677231788635
0.005314475856721401,0.03323071077466011,1659182.375,0.8446478843688965,0.0729004517197609,0.007302392274141312,0.036768749356269836,1490348.875,0.6378532648086548,0.08545403927564621
0.005244985222816467,0.03257547691464424,1553468.375,0.8466682434082031,0.07242227345705032,0.007294747978448868,0.036902349442243576,1447288.25,0.637424886226654,0.08540929853916168
0.005195321049541235,0.03200570121407509,1457284.25,0.8481131792068481,0.07207857817411423,0.00726329954341054,0.036655303090810776,1608932.125,0.6394371390342712,0.08522499352693558
0.005143469665199518,0.03153243288397789,1375924.625,0.8496408462524414,0.07171798497438431,0.007278834003955126,0.037241656333208084,1535462.25,0.6388893127441406,0.08531608432531357
0.0050988998264074326,0.031089823693037033,1300289.75,0.8509392142295837,0.07140658050775528,0.0072184354066848755,0.036340512335300446,1523693.5,0.6415544748306274,0.08496137708425522
0.005056638270616531,0.030704539269208908,1235904.125,0.8521751761436462,0.07111003994941711,0.007150587625801563,0.03590714931488037,1335381.875,0.6453264951705933,0.08456114679574966
0.0050216722302138805,0.03038078360259533,1166445.0,0.8532033562660217,0.0708637610077858,0.00717464042827487,0.035813722759485245,1509557.125,0.6445333957672119,0.08470325171947479
0.0049849264323711395,0.03002498857676983,1113170.625,0.8542603850364685,0.07060401141643524,0.007171470671892166,0.03513500094413757,1355769.0,0.6445462703704834,0.08468453586101532
0.004959371872246265,0.029757969081401825,1063302.375,0.8550313115119934,0.07042280584573746,0.007198314648121595,0.035712987184524536,1519999.5,0.6431567668914795,0.08484288305044174
0.0049315281212329865,0.029486631974577904,1026155.125,0.8558307886123657,0.0702248364686966,0.007217674050480127,0.03607819229364395,1410678.875,0.6420706510543823,0.08495689183473587
0.004909875802695751,0.02923080325126648,983657.4375,0.8564808964729309,0.07007050514221191,0.0071501415222883224,0.03542919084429741,1361048.125,0.6455276012420654,0.08455850929021835
0.004887980408966541,0.029047740623354912,957819.0625,0.8571016192436218,0.06991409510374069,0.007109902333468199,0.03554945066571236,1366329.75,0.6464350819587708,0.08432023972272873
0.0048722256906330585,0.028868606314063072,928216.3125,0.8575657606124878,0.06980133056640625,0.007170349825173616,0.03508945181965828,1322005.0,0.6443381905555725,0.08467791974544525
0.004849141463637352,0.02864416129887104,889597.5,0.8582404851913452,0.0696357786655426,0.007157528772950172,0.035419706255197525,1267971.75,0.6448720693588257,0.08460217714309692
0.00483603635802865,0.02850843407213688,880370.0,0.8586218357086182,0.06954161822795868,0.007030798122286797,0.034544266760349274,1070274.875,0.6501595377922058,0.08384985476732254
0.004825280047953129,0.028415881097316742,868049.125,0.8589571714401245,0.06946423649787903,0.00708693265914917,0.03461344167590141,1226934.375,0.6478877067565918,0.08418392390012741
0.004806948360055685,0.028286194428801537,857660.5,0.8594639301300049,0.06933216005563736,0.007215974386781454,0.03577443212270737,1322082.25,0.6424854397773743,0.0849468931555748
0.004782787524163723,0.028204593807458878,853452.375,0.8601840734481812,0.06915769726037979,0.007017872761934996,0.03517112880945206,1165070.0,0.6512647271156311,0.08377274125814438
0.004765149671584368,0.028093624860048294,839663.3125,0.8606993556022644,0.06903006136417389,0.0070188273675739765,0.03494196757674217,1338961.5,0.6513500213623047,0.08377844095230103
