epoch,train_loss,val_loss
1,0.017508525789198565,0.0064944308169692265
2,0.008764430097472327,0.006064412935896648
3,0.008263601617276337,0.005905736367860274
4,0.008088639782358777,0.005931048770599498
5,0.008048396329000595,0.006022083352919261
6,0.008036322872765626,0.006034859722823359
7,0.008029842215675518,0.006205916343556273
8,0.008047934315459278,0.006333570991589318
9,0.008048626511181937,0.006084185677508032
10,0.007952946348031124,0.006024731080558389
11,0.007911050220784007,0.00596614394014537
