epoch,train_loss,val_loss
1,0.09843013444535088,0.03588241909010269
2,0.03517053903281784,0.01768169230898765
3,0.022752380980101024,0.013180967308241072
4,0.018223587674225612,0.013579825060517808
5,0.01592184444343978,0.012577121211029331
6,0.014629664108787334,0.012768848058247753
7,0.013766729911604414,0.011884401382107584
8,0.012954492361228353,0.012588305228919636
9,0.01254605720854528,0.0126315893961038
10,0.012174420203142492,0.012203923614199627
11,0.011763701424091435,0.01219315484041304
12,0.011540627252657544,0.012160042200541121
13,0.011335865254455043,0.011842242711514158
14,0.011203237639515704,0.012614714427556212
15,0.01108294128619114,0.013266679363987488
16,0.010949303180167727,0.012916595180672761
17,0.010864151910660945,0.011526375716090817
18,0.010783732404896919,0.011827913116447254
19,0.010709714241579767,0.011624068883289226
20,0.010643265439640547,0.0114875814088698
21,0.010567262918709876,0.012070408455869425
22,0.01051412939120129,0.01319032622031807
23,0.010495618037563296,0.011083374158376779
24,0.010438336771646916,0.012464919194192042
25,0.010397358338799678,0.011187221775329671
26,0.010328919410487929,0.011952070282388426
27,0.010315244087304873,0.011416004810370719
28,0.01024455136431782,0.011560485891084774
29,0.010237147531891316,0.01129727741700067
30,0.010185450080513105,0.011905880364763543
31,0.010159665080919686,0.011366257810791215
