epoch,train_loss,val_loss
1,0.005759398610475077,0.006001658760199779
2,0.005326970149607043,0.006062104651961005
3,0.005319723860658399,0.005959666947818056
4,0.005303433212811659,0.006042268466304671
5,0.005311193031853091,0.005962893063610252
6,0.005227323552789659,0.0059492134923203755
7,0.005229798765482599,0.0059015671969586386
8,0.005225873248262838,0.005905279997342426
9,0.005226855282481525,0.005920967778055053
10,0.005178683074587877,0.005922906780589798
11,0.0051809933967347874,0.005868532859704347
12,0.005182944445415859,0.00593301187625028
13,0.005183028822640316,0.005866892139168875
14,0.0051847483814799564,0.005884885945677954
15,0.005184805944940614,0.005881609951988498
16,0.0051534060264743515,0.0058556230618686846
17,0.0051526321275908015,0.00586814981130436
18,0.005152084652936587,0.005872898245326362
19,0.005133046986117717,0.005887646950608998
20,0.005132764173750461,0.005857909433200155
21,0.005122507063431562,0.005850958845480433
22,0.005120949409330882,0.00584492016263467
23,0.005120916013140117,0.005854705701044537
24,0.005120883342974565,0.005849050782778449
25,0.005113996502538783,0.005849402396114417
26,0.005112934855842148,0.005842048147624376
27,0.005112849069722178,0.005857191106374466
28,0.005111172006712325,0.005852914058080231
29,0.005110363202113439,0.005841121585240328
30,0.0051108068817997876,0.005848332160551772
31,0.005109349727969735,0.0058449160082762065
32,0.005109471726826761,0.005839423303014839
33,0.005108474489120913,0.005839133599193599
34,0.005107765385651535,0.005851164747212541
35,0.00510817681676085,0.005840226073617829
36,0.0051069907795612025,0.005837676039348917
37,0.005106707534099818,0.005852801225949196
38,0.005106254890881187,0.0058416965935874495
39,0.005105368717184913,0.005834799548938013
40,0.005102954788857695,0.005834658640819546
41,0.005103503842865849,0.005833804086203984
42,0.005103403781229924,0.005832899125931962
43,0.005103482644253796,0.005827921121249234
44,0.005102109538087509,0.005832813122342766
45,0.005103479250856701,0.005845541800539682
46,0.005101508927831987,0.005825195096044697
47,0.005099803292701382,0.0058315459277123805
48,0.005099480072589176,0.005829688920842552
49,0.005098721546336872,0.005826747504637044
50,0.005098304329617386,0.005822226963706749
